Source,ID.Number,Latitude,Longitude,LocUncertain
iNaturalist,8414821,33.18159444,-99.29715,NA
iNaturalist,8472044,30.5220522,-104.4001021,5
iNaturalist,9285451,34.06375703,-100.2436982,15
iNaturalist,9285452,34.28409246,-99.96457246,4
iNaturalist,10876928,31.3192,-101.3774717,5
iNaturalist,10942895,30.82274167,-101.1360555,5
iNaturalist,10942923,30.80159667,-101.0795055,5
iNaturalist,11095404,32.66896333,-97.50097,10
iNaturalist,11095470,32.68003333,-97.561325,10
iNaturalist,11811532,30.82271164,-101.1268078,5
iNaturalist,12019494,32.6770871,-97.56771928,22
iNaturalist,12256936,32.65316167,-97.659775,5
iNaturalist,12256993,32.678795,-97.70564167,5
iNaturalist,12310215,30.80375026,-101.0946067,5
iNaturalist,12566331,30.82275333,-101.1114972,10
iNaturalist,12602769,33.93193,-98.71948833,5
iNaturalist,12602789,33.593495,-98.60025833,5
iNaturalist,12636263,34.03376117,-100.3018883,NA
iNaturalist,12636319,33.13281667,-100.1856617,NA
iNaturalist,12636415,33.17301167,-99.99241667,NA
iNaturalist,12636441,33.20653833,-100.3005617,NA
iNaturalist,12757512,35.88158833,-100.180625,5
iNaturalist,12757523,35.94234667,-100.3987417,5
iNaturalist,12800941,33.93310833,-100.2646117,6
iNaturalist,13308163,33.18209667,-99.39278333,5
iNaturalist,13308510,33.18517167,-99.10220283,10
iNaturalist,14072493,33.182025,-98.88179667,5
iNaturalist,14317377,34.0696763,-98.8329263,14
iNaturalist,14317475,34.02746,-100.29179,NA
iNaturalist,14317603,34.02970553,-100.2447207,19
iNaturalist,14317652,34.32561,-99.52105,NA
iNaturalist,15887561,33.17115007,-97.77505616,24
iNaturalist,16278176,33.54414635,-100.9780304,66
iNaturalist,16704521,33.7340981,-100.9936124,5
iNaturalist,17006410,33.42118333,-99.85420333,5
iNaturalist,18949198,27.20420074,-97.37909698,NA
iNaturalist,19657972,33.18377353,-99.45297371,147
iNaturalist,22625793,33.40435412,-102.7741012,263
iNaturalist,22666499,34.111936,-100.397839,5
iNaturalist,25215087,32.57558333,-97.48889167,5
iNaturalist,26369150,33.85540333,-100.851775,24
iNaturalist,26371634,30.79949667,-101.0733112,5
iNaturalist,26371648,30.79085833,-101.057725,5
iNaturalist,26372333,30.82280833,-101.1619028,5
iNaturalist,26387696,33.84943522,-100.8497279,630
iNaturalist,26672068,35.35732833,-100.1393805,6
iNaturalist,26672104,35.37938,-100.1119222,5
iNaturalist,26699670,35.67033833,-100.1121528,16
iNaturalist,26715103,35.696145,-100.1121667,22
iNaturalist,46763,32.77630603,-103.8014889,NA
iNaturalist,261299,38.478611,-98.638089,5
iNaturalist,358168,34.63583333,-106.695,NA
iNaturalist,1569892,31.721063,-97.42863,40
iNaturalist,2330041,33.005095,-99.603499,5
iNaturalist,2330101,33.005085,-99.60347,5
iNaturalist,2399547,34.113279,-100.358618,3
iNaturalist,2945823,37.56882122,-96.49444319,8
iNaturalist,2947378,37.5668131,-96.49048827,3
iNaturalist,2947379,37.5667871,-96.4904983,3
iNaturalist,2947380,37.56678861,-96.49049975,4
iNaturalist,2947383,37.56680315,-96.49048406,5
iNaturalist,2947384,37.5668031,-96.49048244,5
iNaturalist,2948690,37.56680016,-96.49051279,8
iNaturalist,2952012,37.56668619,-96.49035173,500
iNaturalist,2957952,37.56730652,-96.49395752,NA
iNaturalist,2961601,37.56876667,-96.49436167,NA
iNaturalist,3035814,37.63416333,-96.53917833,NA
iNaturalist,3332313,32.11217207,-102.7751317,7
iNaturalist,4127190,37.28122392,-99.22148824,15
iNaturalist,4367330,37.51959667,-96.82278333,NA
iNaturalist,4392178,28.30113117,-100.5809498,122
iNaturalist,5376888,34.10623918,-100.3786182,5
iNaturalist,5438431,33.85929194,-98.52091769,11
iNaturalist,6111431,37.18261826,-100.0804917,5
iNaturalist,6135161,35.05731416,-99.90464687,31
iNaturalist,6198220,37.51977167,-96.846825,NA
iNaturalist,6457818,32.67063667,-99.25408833,NA
iNaturalist,6457841,32.72823333,-99.49816167,NA
iNaturalist,6536265,38.1478055,-96.26830333,NA
iNaturalist,6562867,38.44511971,-96.58588971,500
iNaturalist,6704312,37.51958,-96.81088333,NA
iNaturalist,6930477,37.55652,-96.69747167,NA
iNaturalist,6930528,37.297445,-98.92998667,NA
iNaturalist,7036613,33.75487953,-98.38401977,5
iNaturalist,7143481,37.52403333,-96.6379,NA
iNaturalist,7615896,37.33114757,-98.92195776,169
iNaturalist,7949083,37.90426931,-96.51082676,21
iNaturalist,7959391,37.93806167,-96.49154667,NA
iNaturalist,8148678,38.08508245,-98.48041534,244
iNaturalist,10308419,35.8972549,-99.7359467,189
iNaturalist,10451452,36.365,-98.5817,25
iNaturalist,10551517,34.10943333,-99.75469167,5
iNaturalist,10568425,33.42910456,-99.86825189,75
iNaturalist,10688111,38.62340431,-104.0492821,244
iNaturalist,11359511,32.64183788,-97.52730876,22
iNaturalist,12048732,33.68603667,-100.8411467,16
iNaturalist,12186556,38.70679423,-104.149704,977
iNaturalist,12251671,33.42452,-99.87741167,5
iNaturalist,12286022,38.61752225,-104.1098973,NA
iNaturalist,12286104,38.59487783,-104.1505438,NA
iNaturalist,12440559,34.11072217,-99.732445,5
iNaturalist,12720305,38.61349936,-104.1085052,977
iNaturalist,12787229,33.93135548,-98.45912933,592
iNaturalist,12926165,38.62315619,-104.0872192,977
iNaturalist,13188639,33.75391006,-103.2591476,NA
iNaturalist,13279656,35.74704135,-99.71403512,15
iNaturalist,13461563,37.44390765,-98.28210449,646
iNaturalist,13529658,35.8036292,-100.0449222,488
iNaturalist,13529660,35.74750294,-99.71438819,122
iNaturalist,13606262,33.58472647,-99.79189418,5
iNaturalist,14261770,35.41873169,-99.05041504,NA
iNaturalist,14697595,34.12142686,-100.3674523,122
iNaturalist,14733979,38.67354456,-97.99987581,132
iNaturalist,15809494,38.79107616,-98.91282266,311
iNaturalist,16068643,33.54498667,-99.78098333,5
iNaturalist,16553044,37.45711899,-98.14342499,NA
iNaturalist,16625686,38.45678915,-98.63276528,122
iNaturalist,16646381,38.45776039,-98.67910328,122
iNaturalist,16689007,38.67271944,-104.1088889,488
iNaturalist,16849217,37.09424041,-98.01987436,526
iNaturalist,16900473,37.92965,-96.489175,5
iNaturalist,16987017,33.42118333,-99.85420333,5
iNaturalist,17167745,38.65229141,-104.0992132,488
iNaturalist,17285258,38.5951898,-104.2220027,977
iNaturalist,17499887,38.45506333,-96.55983667,0
iNaturalist,19879263,32.79576318,-106.2467206,122
iNaturalist,21994004,36.1731088,-99.62324863,242
iNaturalist,23019889,32.67188525,-97.69853355,585
iNaturalist,23462326,33.42402167,-99.87175,5
iNaturalist,23521850,36.90937833,-96.46042333,NA
iNaturalist,23763593,38.43993333,-96.58174167,6
iNaturalist,24213353,31.709995,-103.0148497,NA
iNaturalist,25291115,34.98798833,-99.76612833,5
iNaturalist,25311301,34.9874572,-99.72864535,349
iNaturalist,25407517,37.54467357,-96.11086932,5
iNaturalist,25407773,37.54474667,-96.11086383,7
iNaturalist,25856883,34.1120445,-99.73233833,5
iNaturalist,25923794,32.684905,-97.71878,5
iNaturalist,25979502,32.65448,-97.67122833,5
iNaturalist,26097176,32.68142,-97.68092167,5
iNaturalist,26174492,37.562875,-96.49584167,NA
iNaturalist,26174542,37.56252167,-96.49887833,NA
iNaturalist,26174578,37.595705,-96.54360333,NA
iNaturalist,26368814,32.68138833,-97.68371667,5
iNaturalist,26425543,32.63731167,-97.62871667,5
iNaturalist,26490214,32.68098833,-97.47428,5
iNaturalist,26836291,34.0460805,-100.1890717,5
iNaturalist,2947386,37.48362087,-96.59419464,NA
iNaturalist,2947385,37.58004191,-96.59694908,NA
iNaturalist,1381491,36.95863459,-96.99255207,NA
iNaturalist,3352053,37.55242379,-96.41450983,NA
iNaturalist,2957948,37.5759247,-96.56233954,NA
iNaturalist,2957955,37.58361075,-96.53831236,NA
iNaturalist,2959127,37.41617147,-96.51208489,NA
iNaturalist,2959211,37.43991623,-96.54747063,NA
iNaturalist,3045256,37.78352403,-96.41446423,NA
iNaturalist,3045257,37.46863387,-96.40832105,NA
iNaturalist,3292059,38.53373202,-98.78449749,NA
